1700,1.05111,1.83944,6.7622,2.0993,0.000113797,-0.00016491,-0.000280652,0.313244,-0.00102588,-6.38954e-05,9.17686e-05,0.000153403,0.157345,0.000519918,298,3.01081e-07,5385.08,7e-05,0.000117097,0.5,0.5,176471,120000,0.0185988,1e-14,3e-14,0.0178241,0,0.0108134,1.85988
1800,1.02667,1.79667,6.60995,2.05786,0.000113936,-0.000165069,-0.000280673,0.312311,-0.0010172,-6.39656e-05,9.18734e-05,0.000153522,0.154172,0.0005182,298,3.09498e-07,5536.13,7e-05,0.000117097,0.5,0.5,176471,120000,0.0185988,1e-14,3e-14,0.0178241,0,0.0108306,1.85988
1900,1.00389,1.75681,6.46911,2.01962,0.000113862,-0.000164711,-0.000279178,0.31145,-0.00100478,-6.39459e-05,9.17629e-05,0.000153018,0.151244,0.000513583,298,3.17266e-07,5675.53,7e-05,0.000117097,0.5,0.5,176471,120000,0.0185988,1e-14,3e-14,0.0178241,0,0.0108464,1.85988
2000,0.983333,1.72083,6.34137,1.98456,0.000113831,-0.000164459,-0.000278282,0.310633,-0.000997427,-6.39613e-05,9.16851e-05,0.000152689,0.148581,0.000510965,298,3.24394e-07,5803.44,7e-05,0.000117097,0.5,0.5,176471,120000,0.0185988,1e-14,3e-14,0.0178241,0,0.0108609,1.85988
2100,0.963889,1.68681,6.22046,1.95245,0.00011382,-0.000164454,-0.000278289,0.309987,-0.000992154,-6.39555e-05,9.16779e-05,0.000152693,0.146048,0.000510231,298,3.3093e-07,5920.74,7e-05,0.000117097,0.5,0.5,176471,120000,0.0185988,1e-14,3e-14,0.0178241,0,0.0108742,1.85988
2200,0.947778,1.65861,6.12044,1.92272,0.000114012,-0.000164761,-0.000278721,0.309409,-0.000989373,-6.40471e-05,9.18474e-05,0.000152968,0.143685,0.000510335,298,3.36986e-07,6029.41,7e-05,0.000117097,0.5,0.5,176471,120000,0.0185988,1e-14,3e-14,0.0178241,0,0.0108866,1.85988
2300,0.932778,1.63236,6.02852,1.89511,0.000114005,-0.000164782,-0.00027876,0.308885,-0.000985337,-6.40414e-05,9.18494e-05,0.000152999,0.141471,0.000509679,298,3.42624e-07,6130.58,7e-05,0.000117097,0.5,0.5,176471,120000,0.0185988,1e-14,3e-14,0.0178241,0,0.0108981,1.85988
2400,0.919444,1.60903,5.94647,1.86949,0.000112898,-0.000163157,-0.000275786,0.308455,-0.000969631,-6.34303e-05,9.09482e-05,0.000151469,0.139349,0.000502983,298,3.47893e-07,6225.14,7e-05,0.000117097,0.5,0.5,176471,120000,0.0185988,1e-14,3e-14,0.0178241,0,0.0109088,1.85988
2500,0.907222,1.58764,5.87139,1.84558,0.000112961,-0.000162999,-0.000274416,0.308066,-0.000956401,-6.34616e-05,9.09611e-05,0.000151114,0.137348,0.000498056,298,3.52832e-07,6313.79,7e-05,0.000117097,0.5,0.5,176471,120000,0.0185988,1e-14,3e-14,0.0178241,0,0.0109189,1.85988
2500,0.907222,1.58764,5.87139,1.84558,0.000112961,-0.000162999,-0.000274416,0.308066,-0.000956401,-6.34616e-05,9.09611e-05,0.000151114,0.137348,0.000498056,298,3.52832e-07,6313.79,7e-05,0.000117097,0.5,0.5,176471,120000,0.0185988,1e-14,3e-14,0.0178241,0,0.0109189,1.85988
