170,0.0165278,0.0618857,-0.35,3.74816,3.81484,0.133956,298.093,170,0.0165278,0.0618857,0,0,0,0.000101
174,0.0169167,0.0633434,-0.35,3.7483,3.81497,0.133935,298.094,174,0.0169167,0.0633434,0,0,0,0.000101
178,0.0173056,0.0648011,-0.35,3.74845,3.8151,0.133914,298.095,178,0.0173056,0.0648011,0,0,0,0.000101
182,0.0176944,0.0662589,-0.35,3.7486,3.81523,0.133894,298.096,182,0.0176944,0.0662589,0,0,0,0.000101
186,0.0180833,0.0677167,-0.35,3.74874,3.81536,0.133873,298.097,186,0.0180833,0.0677167,0,0,0,0.000101
190,0.0184722,0.0691746,-0.35,3.74889,3.81549,0.133853,298.098,190,0.0184722,0.0691746,0,0,0,0.000101
194,0.0188611,0.0706325,-0.35,3.74903,3.81562,0.133832,298.099,194,0.0188611,0.0706325,0,0,0,0.000101
198,0.01925,0.0720905,-0.35,3.74917,3.81575,0.133812,298.1,198,0.01925,0.0720905,0,0,0,0.000101
202,0.0196389,0.0735486,-0.35,3.74931,3.81587,0.133792,298.101,202,0.0196389,0.0735486,0,0,0,0.000101
206,0.0200278,0.0750067,-0.35,3.74945,3.816,0.133772,298.101,206,0.0200278,0.0750067,0,0,0,0.000101
210,0.0204167,0.0764648,-0.35,3.74959,3.81612,0.133752,298.102,210,0.0204167,0.0764648,0,0,0,0.000101
214,0.0208056,0.0779231,-0.35,3.74973,3.81625,0.133732,298.103,214,0.0208056,0.0779231,0,0,0,0.000101
218,0.0211944,0.0793813,-0.35,3.74987,3.81637,0.133713,298.104,218,0.0211944,0.0793813,0,0,0,0.000101
222,0.0215833,0.0808397,-0.35,3.75001,3.81649,0.133693,298.104,222,0.0215833,0.0808397,0,0,0,0.000101
226,0.0219722,0.082298,-0.35,3.75014,3.81661,0.133674,298.105,226,0.0219722,0.082298,0,0,0,0.000101
230,0.0223611,0.0837565,-0.35,3.75028,3.81673,0.133654,298.106,230,0.0223611,0.0837565,0,0,0,0.000101
234,0.02275,0.0852149,-0.35,3.75041,3.81685,0.133635,298.106,234,0.02275,0.0852149,0,0,0,0.000101
238,0.0231389,0.0866735,-0.35,3.75055,3.81697,0.133616,298.107,238,0.0231389,0.0866735,0,0,0,0.000101
242,0.0235278,0.0881321,-0.35,3.75068,3.81709,0.133597,298.107,242,0.0235278,0.0881321,0,0,0,0.000101
246,0.0239167,0.0895907,-0.35,3.75082,3.81721,0.133578,298.108,246,0.0239167,0.0895907,0,0,0,0.000101
250,0.0243056,0.0910494,-0.35,3.75095,3.81733,0.133559,298.108,250,0.0243056,0.0910494,0,0,0,0.000101
254,0.0246944,0.0925081,-0.35,3.75108,3.81745,0.13354,298.109,254,0.0246944,0.0925081,0,0,0,0.000101
258,0.0250833,0.0939669,-0.35,3.75121,3.81756,0.133522,298.11,258,0.0250833,0.0939669,0,0,0,0.000101
262,0.0254722,0.0954258,-0.35,3.75134,3.81768,0.133503,298.11,262,0.0254722,0.0954258,0,0,0,0.000101
266,0.0258611,0.0968847,-0.35,3.75149,3.81781,0.133485,298.111,266,0.0258611,0.0968847,0,0,0,0.000101
270,0.02625,0.0983436,-0.35,3.75163,3.81794,0.133466,298.111,270,0.02625,0.0983436,0,0,0,0.000101
274,0.0266389,0.0998026,-0.35,3.75178,3.81807,0.133448,298.111,274,0.0266389,0.0998026,0,0,0,0.000101
278,0.0270278,0.101262,-0.35,3.75192,3.8182,0.133429,298.112,278,0.0270278,0.101262,0,0,0,0.000101
282,0.0274167,0.102721,-0.35,3.75207,3.81833,0.133411,298.112,282,0.0274167,0.102721,0,0,0,0.000101
286,0.0278056,0.10418,-0.35,3.75221,3.81846,0.133393,298.113,286,0.0278056,0.10418,0,0,0,0.000101
290,0.0281944,0.105639,-0.35,3.75235,3.81859,0.133375,298.113,290,0.0281944,0.105639,0,0,0,0.000101
294,0.0285833,0.107099,-0.35,3.7525,3.81872,0.133357,298.114,294,0.0285833,0.107099,0,0,0,0.000101
298,0.0289722,0.108558,-0.35,3.75264,3.81885,0.133339,298.114,298,0.0289722,0.108558,0,0,0,0.000101
302,0.0293611,0.110017,-0.35,3.75278,3.81897,0.133321,298.114,302,0.0293611,0.110017,0,0,0,0.000101
