0.29428,3.92021,298.214
0.29428,3.46125,298.215
0.295633,3.42085,298.286
0.296986,3.39601,298.345
0.298338,3.36359,298.402
0.299691,3.34636,298.456
0.301044,3.33545,298.509
0.302397,3.32472,298.563
0.30375,3.31482,298.616
0.305102,3.30532,298.668
0.306455,3.29633,298.719
0.307808,3.28772,298.768
0.309161,3.2795,298.814
0.310513,3.2716,298.86
0.311866,3.26402,298.903
0.313219,3.25672,298.945
0.314572,3.24968,298.985
0.315925,3.24287,299.023
0.317277,3.23628,299.06
0.31863,3.22988,299.096
0.319983,3.22366,299.129
0.321336,3.21761,299.162
0.322688,3.08672,299.193
0.324041,2.917,299.223
0.325394,2.75155,299.252
0.326747,2.59007,299.279
